name,date,author,risk_score,severity,tactic,technique,subtechnique
Potential MSF PowerShell Payload Observed,2023/07/11,['Anthony Isherwood'],50,high,Execution,T1059 - Command and Scripting Interpreter,T1059.001 - PowerShell
Suspicious File Written to Temp Directory,2023/06/11,['Anthony Isherwood'],75,high,Discovery; Discovery,T1082 - System Information Discovery; T1217 - Browser Information Discovery,none - none; none - none
Data Archive for Potential Exfil,2023/07/11,['Anthony Isherwood'],50,medium,Collection,T1074 - Data Staged,T1074.001 - Local Data Staging
Data Exfiltration Observed via FTP,2023/08/11,['Troy Mitchell'],50,high,Exfiltration,T1020 - Automated Exfiltration,none - none
New Alert 3,2023/07/11,['Anthony Isherwood'; 'Troy Mitchell'],100,medium,Execution,T1059 - Command and Scripting Interpreter,T1059.003 - Windows Command Shell
New Alert 2,2023/07/11,['Anthony Isherwood'; 'Troy Mitchell'],100,medium,Execution,T1059 - Command and Scripting Interpreter,T1059.003 - Windows Command Shell
PowerShell Invoke-WebRequest Downloading .BAT File,2023/05/11,['Anthony Isherwood'],50,medium,Execution,T1059 - Command and Scripting Interpreter,T1059.001 - PowerShell
PowerShell Execution via a BAT File,2023/07/11,['Anthony Isherwood'],50,medium,Execution,T1059 - Command and Scripting Interpreter,T1059.001 - PowerShell
Excessive Web Traffic,2023/06/11,['Troy Mitchell'],39,low,Discovery,T1046 - Network Service Discovery,none - none
Bat files observed in HTTP Traffic on Unusual Port ,2023/07/11,['Anthony Isherwood'; 'Troy Mitchell'],100,medium,Execution,T1059 - Command and Scripting Interpreter,T1059.003 - Windows Command Shell
Web Scanner Activity - Nmap and Nikto,2023/07/11,['Troy Mitchell'],25,low,Discovery,T1046 - Network Service Discovery,none - none
Example Alert 2,2023/07/11,['Anthony Isherwood'; 'Troy Mitchell'],100,medium,Execution,T1059 - Command and Scripting Interpreter,T1059.003 - Windows Command Shell
Suspicious File Added to Registry,2023/05/11,['Anthony Isherwood'],75,high,Persistence,T1547 - Boot or Logon Autostart Execution,T1547.001 - Registry Run Keys / Startup Folder
